score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
    rw   0.060    0.0069    17.753    0.000  1.950e-08
    rw   0.060    0.0069    16.963    0.000  4.294e-08
    rw   0.060    0.0069    17.765    0.000  1.926e-08
    rw   0.060    0.0069    19.244    0.000  4.392e-09
    rw   0.060    0.0070    22.739    0.000  1.332e-10
    rw   0.060    0.0071    21.561    0.000  4.325e-10
    rw   0.060    0.0072    22.589    0.000  1.548e-10
    rw   0.060    0.0076    17.916    0.000  1.657e-08
    rw   0.060    0.0076    24.054    0.000  3.575e-11
    rw   0.060    0.0079    17.815    0.000  1.832e-08
    rw   0.090    0.0088    33.827    0.000  2.038e-15
    rw   0.090    0.0089    15.573    0.000  1.725e-07
    rw   0.090    0.0092    30.619    0.000  5.037e-14
    rw   0.090    0.0092    27.988    0.000  6.995e-13
    rw   0.090    0.0092    23.841    0.000  4.424e-11
    rw   0.090    0.0092    28.502    0.000  4.185e-13
    rw   0.090    0.0092    30.682    0.000  4.731e-14
    rw   0.090    0.0093    26.385    0.000  3.477e-12
    rw   0.090    0.0093    34.040    0.000  1.647e-15
    rw   0.090    0.0094    24.029    0.000  3.666e-11
    rw   0.090    0.0094    17.577    0.000  2.324e-08
    rw   0.090    0.0094    24.080    0.000  3.487e-11
    rw   0.090    0.0094    22.275    0.000  2.118e-10
    rw   0.090    0.0094    37.999    0.000  3.144e-17
    rw   0.090    0.0095    29.316    0.000  1.854e-13
    rw   0.090    0.0095    27.600    0.000  1.032e-12
    rw   0.090    0.0095    35.631    0.000  3.356e-16
    rw   0.090    0.0095    23.503    0.000  6.204e-11
    rw   0.090    0.0095    23.867    0.000  4.314e-11
    rw   0.090    0.0096    33.977    0.000  1.754e-15
    rw   0.090    0.0096    28.515    0.000  4.133e-13
    rw   0.090    0.0097    15.648    0.000  1.600e-07
    rw   0.090    0.0099    36.996    0.000  8.565e-17
    rw   0.090    0.0099    27.976    0.000  7.083e-13
    rw   0.090    0.0100    32.636    0.000  6.702e-15
    rw   0.090    0.0100    31.020    0.000  3.373e-14
    rw   0.090    0.0100    25.783    0.000  6.345e-12
    rw   0.090    0.0101    39.289    0.000  8.650e-18
    rw   0.090    0.0101    22.814    0.000  1.236e-10
    rw   0.090    0.0101    36.946    0.000  9.005e-17
    rw   0.090    0.0102    27.011    0.000  1.859e-12
    rw   0.090    0.0103    31.020    0.000  3.373e-14
    rw   0.090    0.0103    23.015    0.000  1.011e-10
    rw   0.090    0.0103    33.852    0.000  1.988e-15
    rw   0.090    0.0106    29.968    0.000  9.663e-14
    rw   0.090    0.0106    39.452    0.000  7.350e-18
    rw   0.090    0.0106    41.745    0.000  7.423e-19
    rw   0.090    0.0109    39.727    0.000  5.579e-18
    rw   0.090    0.0109    37.272    0.000  6.502e-17
    rw   0.090    0.0110    40.767    0.000  1.972e-18
    rw   0.120    0.0115    43.987    0.000  7.882e-20
    rw   0.120    0.0116    29.341    0.000  1.808e-13
    rw   0.120    0.0119    36.696    0.000  1.157e-16
    rw   0.120    0.0121    42.772    0.000  2.657e-19
    rw   0.120    0.0121    50.890    0.000  7.919e-23
    rw   0.120    0.0121    41.469    0.000  9.779e-19
    rw   0.120    0.0123    43.110    0.000  1.895e-19
    rw   0.120    0.0125    33.062    0.000  4.377e-15
    rw   0.120    0.0125    47.432    0.000  2.514e-21
    rw   0.120    0.0126    37.811   -0.000  3.794e-17
    rw   0.120    0.0126    39.264    0.000  8.870e-18
    rw   0.120    0.0127    36.533    0.000  1.362e-16
