score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
 drift   0.180    0.0071    10.148 -357.303 2.618e-160
 drift   0.180    0.0072     9.446 -369.399 2.949e-165
 drift   0.180    0.0072     7.404 -363.175 1.146e-161
 drift   0.180    0.0072     4.510 -379.316 2.024e-167
 drift   0.180    0.0072     3.934 -373.938 7.806e-165
 drift   0.180    0.0072     7.555 -369.727 1.409e-164
 drift   0.180    0.0073     6.527 -357.922 5.268e-159
 drift   0.180    0.0073     5.099 -383.834 1.226e-169
 drift   0.180    0.0073     5.989 -354.599 2.506e-157
 drift   0.180    0.0073    10.161 -386.608 4.848e-173

radius 1.14  waters 201
  move    step    RMS nm     dU/kT     logH     accept
    rw   0.020    0.0021    14.809    0.000  3.705e-07
    rw   0.020    0.0021    11.426    0.000  1.091e-05
    rw   0.020    0.0021    13.919    0.000  9.017e-07
    rw   0.020    0.0021     7.893    0.000  3.734e-04
    rw   0.020    0.0021    14.320    0.000  6.039e-07
    rw   0.020    0.0021    12.754    0.000  2.891e-06
    rw   0.020    0.0021    13.932    0.000  8.904e-07
    rw   0.020    0.0021    13.881    0.000  9.362e-07
    rw   0.020    0.0022    14.984    0.000  3.109e-07
    rw   0.020    0.0022    11.689    0.000  8.386e-06
    rw   0.020    0.0022    14.182    0.000  6.931e-07
    rw   0.020    0.0022    23.603    0.000  5.612e-11
    rw   0.020    0.0022    11.739   -0.000  7.976e-06
    rw   0.020    0.0022    12.654    0.000  3.196e-06
    rw   0.020    0.0022    16.024    0.000  1.099e-07
    rw   0.020    0.0022    15.585    0.000  1.704e-07
    rw   0.020    0.0022    20.872    0.000  8.616e-10
    rw   0.020    0.0022     8.958    0.000  1.287e-04
    rw   0.020    0.0022    14.445    0.000  5.328e-07
    rw   0.020    0.0022    15.924    0.000  1.215e-07
    rw   0.020    0.0022     9.835    0.000  5.356e-05
    rw   0.020    0.0022    12.904    0.000  2.488e-06
    rw   0.020    0.0022    11.476    0.000  1.038e-05
    rw   0.020    0.0022     9.158    0.000  1.053e-04
    rw   0.020    0.0022    18.091    0.000  1.391e-08
    rw   0.020    0.0022    18.191    0.000  1.258e-08
    rw   0.020    0.0022    11.990    0.000  6.208e-06
    rw   0.020    0.0023    15.473    0.000  1.907e-07
    rw   0.020    0.0023     8.557    0.000  1.922e-04
    rw   0.020    0.0023    13.756    0.000  1.061e-06
    rw   0.020    0.0023    14.383    0.000  5.672e-07
    rw   0.020    0.0023    16.224    0.000  8.993e-08
    rw   0.020    0.0023    14.395    0.000  5.601e-07
    rw   0.020    0.0023    16.600    0.000  6.176e-08
    rw   0.020    0.0023    22.300    0.000  2.065e-10
    rw   0.020    0.0023     8.557    0.000  1.922e-04
    rw   0.020    0.0023    16.024    0.000  1.099e-07
    rw   0.020    0.0023    14.583    0.000  4.642e-07
    rw   0.020    0.0023    14.771    0.000  3.846e-07
    rw   0.020    0.0023    11.889    0.000  6.863e-06
    rw   0.040    0.0041    33.927    0.000  1.844e-15
    rw   0.040    0.0041    30.181    0.000  7.810e-14
    rw   0.040    0.0042    17.089    0.000  3.789e-08
    rw   0.040    0.0042    29.179    0.000  2.128e-13
    rw   0.040    0.0042    33.952    0.000  1.798e-15
    rw   0.040    0.0042    34.415    0.000  1.131e-15
    rw   0.040    0.0043    26.748    0.000  2.418e-12
    rw   0.040    0.0043    28.941    0.000  2.700e-13
    rw   0.040    0.0043    35.380    0.000  4.311e-16
    rw   0.040    0.0043    19.118    0.000  4.978e-09
    rw   0.040    0.0043    23.904    0.000  4.155e-11
    rw   0.040    0.0043    41.068    0.000  1.460e-18
    rw   0.040    0.0043    27.487    0.000  1.155e-12
    rw   0.040    0.0043    34.077    0.000  1.587e-15
    rw   0.040    0.0043    13.506    0.000  1.363e-06
    rw   0.040    0.0043    26.598    0.000  2.810e-12
    rw   0.040    0.0044    24.418    0.000  2.486e-11
    rw   0.040    0.0044    26.648    0.000  2.673e-12
    rw   0.040    0.0044    10.186    0.000  3.771e-05
    rw   0.040    0.0044    28.277    0.000  5.244e-13
    rw   0.040    0.0044    32.937    0.000  4.961e-15
    rw   0.040    0.0044    31.033    0.000  3.331e-14
    rw   0.040    0.0044    37.209    0.000  6.922e-17
    rw   0.040    0.0044    22.513    0.000  1.669e-10
    rw   0.040    0.0044    23.190    0.000  8.486e-11
    rw   0.040    0.0044    29.579    0.000  1.425e-13
    rw   0.040    0.0045    21.624    0.000  4.063e-10
    rw   0.040    0.0045    31.246    0.000  2.692e-14
    rw   0.040    0.0045    21.085    0.000  6.963e-10
    rw   0.040    0.0045    25.245    0.000  1.087e-11
    rw   0.040    0.0045    25.871    0.000  5.812e-12
    rw   0.040    0.0045    35.981    0.000  2.363e-16
    rw   0.040    0.0045    34.541    0.000  9.981e-16
    rw   0.040    0.0045    34.353    0.000  1.204e-15
    rw   0.040    0.0046    15.297    0.000  2.273e-07
    rw   0.040    0.0046    20.133    0.000  1.804e-09
    rw   0.040    0.0046    22.726    0.000  1.349e-10
    rw   0.040    0.0046    31.384    0.000  2.346e-14
    rw   0.040    0.0047    38.074    0.000  2.916e-17
    rw   0.040    0.0047    38.061    0.000  2.953e-17
    rw   0.060    0.0063    43.235    0.000  1.671e-19
    rw   0.060    0.0063    53.033    0.000  9.295e-24
    rw   0.060    0.0063    56.077    0.000  4.427e-25
    rw   0.060    0.0064    37.485    0.000  5.254e-17
    rw   0.060    0.0064    48.535    0.000  8.348e-22
    rw   0.060    0.0065    50.076    0.000  1.788e-22
    rw   0.060    0.0065    49.963    0.000  2.001e-22
    rw   0.060    0.0065    50.865    0.000  8.120e-23
    rw   0.060    0.0066    45.102    0.000  2.585e-20
    rw   0.060    0.0066    56.077    0.000  4.427e-25
    rw   0.060    0.0066    58.608    0.000  3.524e-26
    rw   0.060    0.0066    38.512    0.000  1.881e-17
    rw   0.060    0.0066    47.746    0.000  1.838e-21
    rw   0.060    0.0066    56.340    0.000  3.403e-25
    rw   0.060    0.0066    51.567    0.000  4.026e-23
    rw   0.060    0.0066    39.151    0.000  9.928e-18
    rw   0.060    0.0066    51.730    0.000  3.421e-23
    rw   0.060    0.0066    41.156    0.000  1.338e-18
    rw   0.060    0.0066    52.394    0.000  1.761e-23
    rw   0.060    0.0067    62.592    0.000  6.558e-28
    rw   0.060    0.0067    43.824    0.000  9.276e-20
    rw   0.060    0.0067    45.541    0.000  1.667e-20
    rw   0.060    0.0067    65.599    0.000  3.243e-29
    rw   0.060    0.0067    48.034    0.000  1.378e-21
    rw   0.060    0.0067    52.030    0.000  2.532e-23
    rw   0.060    0.0067    33.902    0.000  1.891e-15
    rw   0.060    0.0067    61.514    0.000  1.926e-27
    rw   0.060    0.0067    69.971    0.000  4.093e-31
    rw   0.060    0.0067    61.652    0.000  1.678e-27
    rw   0.060    0.0068    46.731    0.000  5.071e-21
    rw   0.060    0.0068    47.307    0.000  2.850e-21
    rw   0.060    0.0068    60.086    0.000  8.034e-27
    rw   0.060    0.0068    49.387    0.000  3.561e-22
    rw   0.060    0.0068    57.593    0.000  9.721e-26
    rw   0.060    0.0068    52.995    0.000  9.651e-24
    rw   0.060    0.0068    53.559    0.000  5.492e-24
    rw   0.060    0.0068    62.917    0.000  4.735e-28
    rw   0.060    0.0069    62.253    0.000  9.197e-28
    rw   0.060    0.0070    33.576   -0.000  2.619e-15
    rw   0.060    0.0070    57.104    0.000  1.585e-25
    rw   0.090    0.0093    99.763    0.000  4.713e-44
    rw   0.090    0.0093   106.053    0.000  8.748e-47
    rw   0.090    0.0093    98.210    0.000  2.228e-43
    rw   0.090    0.0094   105.063    0.000  2.354e-46
    rw   0.090    0.0094    77.764   -0.000  1.689e-34
    rw   0.090    0.0095   107.757    0.000  1.592e-47
    rw   0.090    0.0095    92.196    0.000  9.113e-41
    rw   0.090    0.0096    92.271    0.000  8.453e-41
    rw   0.090    0.0096   113.106    0.000  7.562e-50
    rw   0.090    0.0097   115.599    0.000  6.250e-51
    rw   0.090    0.0097   101.768    0.000  6.350e-45
    rw   0.090    0.0098    93.249    0.000  3.181e-41
    rw   0.090    0.0098   112.993    0.000  8.465e-50
    rw   0.090    0.0098   101.267    0.000  1.048e-44
    rw   0.090    0.0098   130.683    0.000  1.758e-57
    rw   0.090    0.0098    91.545    0.000  1.748e-40
    rw   0.090    0.0098   109.110    0.000  4.114e-48
    rw   0.090    0.0099    77.125    0.000  3.200e-34
    rw   0.090    0.0099    88.789    0.000  2.752e-39
    rw   0.090    0.0099    93.900    0.000  1.658e-41
    rw   0.090    0.0099    91.119    0.000  2.677e-40
    rw   0.090    0.0100   129.719    0.000  4.612e-57
    rw   0.090    0.0100   112.680    0.000  1.158e-49
    rw   0.090    0.0100   108.784    0.000  5.699e-48
    rw   0.090    0.0100   118.117    0.000  5.038e-52
    rw   0.090    0.0100   121.813    0.000  1.251e-53
    rw   0.090    0.0100   101.104    0.000  1.233e-44
    rw   0.090    0.0100   115.862    0.000  4.804e-51
    rw   0.090    0.0101   100.665    0.000  1.912e-44
    rw   0.090    0.0101    90.317    0.000  5.968e-40
    rw   0.090    0.0101   119.095    0.000  1.896e-52
    rw   0.090    0.0102    98.034    0.000  2.656e-43
    rw   0.090    0.0102   103.848    0.000  7.935e-46
    rw   0.090    0.0102   119.195    0.000  1.715e-52
    rw   0.090    0.0103   110.400    0.000  1.132e-48
    rw   0.090    0.0104    84.830    0.000  1.442e-37
    rw   0.090    0.0104   116.977    0.000  1.575e-51
    rw   0.090    0.0104   127.514    0.000  4.183e-56
    rw   0.090    0.0105    99.738    0.000  4.833e-44
    rw   0.090    0.0105   116.000    0.000  4.186e-51
    rw   0.120    0.0123   174.395    0.000  1.825e-76
    rw   0.120    0.0124   149.877    0.000  8.115e-66
    rw   0.120    0.0125   147.246    0.000  1.127e-64
    rw   0.120    0.0126   179.607    0.000  9.949e-79
    rw   0.120    0.0127   180.321    0.000  4.871e-79
    rw   0.120    0.0127   171.802    0.000  2.441e-75
    rw   0.120    0.0128   181.348    0.000  1.744e-79
    rw   0.120    0.0129   191.020    0.000  1.099e-83
    rw   0.120    0.0129   177.640    0.000  7.113e-78
    rw   0.120    0.0129   207.081    0.000  1.163e-90
    rw   0.120    0.0129   139.779    0.000  1.971e-61
    rw   0.120    0.0130   187.349    0.000  4.318e-82
    rw   0.120    0.0130   155.916    0.000  1.935e-68
    rw   0.120    0.0130   203.022    0.000  6.738e-89
    rw   0.120    0.0130   177.289    0.000  1.010e-77
    rw   0.120    0.0130   156.630    0.000  9.475e-69
    rw   0.120    0.0130   144.916    0.000  1.159e-63
    rw   0.120    0.0131   194.140    0.000  4.855e-85
    rw   0.120    0.0131   170.762    0.000  6.905e-75
    rw   0.120    0.0131   175.410    0.000  6.615e-77
    rw   0.120    0.0131   145.968    0.000  4.045e-64
    rw   0.120    0.0131   195.443    0.000  1.319e-85
    rw   0.120    0.0132   165.863    0.000  9.259e-73
    rw   0.120    0.0132   202.471    0.000  1.169e-88
    rw   0.120    0.0132   207.633    0.000  6.703e-91
    rw   0.120    0.0132   188.752    0.000  1.061e-82
    rw   0.120    0.0132   199.251    0.000  2.926e-87
    rw   0.120    0.0133   184.242    0.000  9.652e-81
    rw   0.120    0.0133   205.252    0.000  7.245e-90
    rw   0.120    0.0134   189.066    0.000  7.760e-83
    rw   0.120    0.0134   217.029    0.000  5.566e-95
    rw   0.120    0.0134   191.559    0.000  6.413e-84
    rw   0.120    0.0136   168.168    0.000  9.235e-74
    rw   0.120    0.0136   232.451    0.000 1.116e-101
    rw   0.120    0.0136   198.036    0.000  9.865e-87
    rw   0.120    0.0136   200.454    0.000  8.790e-88
    rw   0.120    0.0137   217.931    0.000  2.258e-95
    rw   0.120    0.0138   213.020    0.000  3.066e-93
    rw   0.120    0.0139   185.783    0.000  2.067e-81
    rw   0.120    0.0142   190.369    0.000  2.108e-83
    rw   0.160    0.0160   220.487    0.000  1.753e-96
    rw   0.160    0.0164   242.349    0.000 5.614e-106
    rw   0.160    0.0167   306.782    0.000 5.837e-134
    rw   0.160    0.0168   291.234    0.000 3.300e-127
    rw   0.160    0.0170   307.521    0.000 2.787e-134
    rw   0.160    0.0170   244.253    0.000 8.360e-107
    rw   0.160    0.0171   256.005    0.000 6.585e-112
    rw   0.160    0.0172   312.232    0.000 2.508e-136
    rw   0.160    0.0172   296.146    0.000 2.430e-129
    rw   0.160    0.0172   327.805    0.000 4.327e-143
    rw   0.160    0.0172   298.764    0.000 1.772e-130
    rw   0.160    0.0173   268.947    0.000 1.578e-117
    rw   0.160    0.0174   356.269    0.000 1.880e-155
    rw   0.160    0.0174   338.842    0.000 6.961e-148
    rw   0.160    0.0175   318.759    0.000 3.669e-139
    rw   0.160    0.0175   322.205    0.000 1.170e-140
    rw   0.160    0.0176   341.097    0.000 7.299e-149
    rw   0.160    0.0176   293.941    0.000 2.204e-128
    rw   0.160    0.0177   311.054    0.000 8.143e-136
    rw   0.160    0.0178   327.141    0.000 8.405e-143
    rw   0.160    0.0178   314.249    0.000 3.337e-137
    rw   0.160    0.0178   279.433    0.000 4.404e-122
    rw   0.160    0.0178   332.992    0.000 2.419e-145
    rw   0.160    0.0178   328.970    0.000 1.349e-143
    rw   0.160    0.0179   356.194    0.000 2.027e-155
    rw   0.160    0.0179   338.767   -0.000 7.504e-148
    rw   0.160    0.0179   365.979    0.000 1.141e-159
    rw   0.160    0.0179   346.936    0.000 2.127e-151
    rw   0.160    0.0179   269.548    0.000 8.646e-118
    rw   0.160    0.0180   299.854    0.000 5.957e-131
    rw   0.160    0.0180   356.946    0.000 9.559e-156
    rw   0.160    0.0181   322.180   -0.000 1.200e-140
    rw   0.160    0.0182   333.818    0.000 1.058e-145
    rw   0.160    0.0183   316.128    0.000 5.096e-138
    rw   0.160    0.0183   335.773    0.000 1.499e-146
    rw   0.160    0.0183   339.018    0.000 5.841e-148
    rw   0.160    0.0187   338.078    0.000 1.495e-147
    rw   0.160    0.0187   310.866    0.000 9.827e-136
    rw   0.160    0.0188   374.060    0.000 3.532e-163
    rw   0.160    0.0189   375.250    0.000 1.074e-163

 drift   0.020    0.0042    19.131  -18.748  3.545e-17
 drift   0.020    0.0042    25.357  -26.623  2.663e-23
 drift   0.020    0.0043    19.782  -16.848  1.235e-16
 drift   0.020    0.0043    26.974  -18.232  2.332e-20
 drift   0.020    0.0043    31.571   -7.288  1.329e-17
 drift   0.020    0.0043    19.707  -15.854  3.596e-16
 drift   0.020    0.0043    21.336   -8.061  1.711e-13
 drift   0.020    0.0044    19.106  -11.609  4.578e-14
 drift   0.020    0.0044    28.452  -20.871  3.795e-22
 drift   0.020    0.0044    39.176  -20.004  1.987e-26
 drift   0.020    0.0044    20.171  -12.953  4.115e-15
 drift   0.020    0.0044    29.016  -14.168  1.760e-19
 drift   0.020    0.0044    22.488  -10.389  5.267e-15
 drift   0.020    0.0044    18.429  -21.905  3.040e-18
 drift   0.020    0.0044    21.286  -17.577  1.325e-17
 drift   0.020    0.0044    14.896  -29.266  6.615e-20
 drift   0.020    0.0044    29.166  -16.420  1.594e-20
 drift   0.020    0.0044    33.037   -8.785  6.868e-19
 drift   0.020    0.0044    12.779  -21.493  1.305e-15
 drift   0.020    0.0044    32.649  -16.406  4.963e-22
 drift   0.020    0.0044    26.598  -22.163  6.662e-22
 drift   0.020    0.0044    27.688  -23.894  3.964e-23
 drift   0.020    0.0044    28.101   -1.007  2.283e-13
 drift   0.020    0.0045    25.207  -23.424  7.578e-22
 drift   0.020    0.0045    12.691  -20.426  4.142e-15
 drift   0.020    0.0045    16.625  -21.861  1.931e-17
 drift   0.020    0.0045    16.061  -15.451  2.062e-14
 drift   0.020    0.0045    17.527  -16.513  1.646e-15
 drift   0.020    0.0045    41.055   -6.639  1.935e-21
 drift   0.020    0.0045    27.136  -18.329  1.798e-20
 drift   0.020    0.0045    24.969  -17.383  4.044e-19
 drift   0.020    0.0045    22.664  -16.830  7.046e-18
 drift   0.020    0.0045    15.473  -14.570  8.969e-14
 drift   0.020    0.0045    28.201  -24.136  1.863e-23
 drift   0.020    0.0046    35.756  -13.520  3.980e-22
 drift   0.020    0.0046    31.772  -12.601  5.360e-20
 drift   0.020    0.0046    21.010  -30.959  2.692e-23
 drift   0.020    0.0046    12.503  -16.905  1.691e-13
 drift   0.020    0.0047    22.889  -24.660  2.237e-21
 drift   0.020    0.0047    28.853  -25.519  2.435e-24
 drift   0.040    0.0044     8.331  -75.029  6.266e-37
 drift   0.040    0.0044    25.771  -63.502  1.696e-39
 drift   0.040    0.0044    29.504  -60.268  1.029e-39
 drift   0.040    0.0044    13.744  -68.391  2.135e-36
 drift   0.040    0.0044    27.738  -84.351  2.091e-49
 drift   0.040    0.0044     9.396  -71.379  8.317e-36
 drift   0.040    0.0044     8.056  -75.024  8.294e-37
 drift   0.040    0.0044    13.731  -83.556  5.607e-43
 drift   0.040    0.0045    17.715  -99.576  1.151e-51
 drift   0.040    0.0045    21.687  -76.128  3.309e-43
 drift   0.040    0.0045    12.741  -93.936  4.685e-47
 drift   0.040    0.0045    20.922  -62.562  5.539e-37
 drift   0.040    0.0045    22.376  -78.567  1.449e-44
 drift   0.040    0.0045    30.306  -80.498  7.559e-49
 drift   0.040    0.0045    11.614  -79.507  2.670e-40
 drift   0.040    0.0045    16.588  -62.861  3.133e-35
 drift   0.040    0.0045    28.064  -57.253  8.864e-38
 drift   0.040    0.0045    23.654  -91.314  1.175e-50
 drift   0.040    0.0046     8.682  -77.871  2.574e-38
 drift   0.040    0.0046    22.889  -85.834  6.055e-48
 drift   0.040    0.0046     1.804  -71.541  1.402e-32
 drift   0.040    0.0046    24.931  -62.350  1.243e-38
 drift   0.040    0.0046    23.403  -56.365  2.275e-35
 drift   0.040    0.0046    26.949  -67.144  1.369e-41
 drift   0.040    0.0046    19.043  -70.752  1.006e-39
 drift   0.040    0.0046    13.017  -85.478  1.675e-43
 drift   0.040    0.0046    19.031  -91.226  1.307e-48
 drift   0.040    0.0046    17.878  -68.242  3.969e-38
 drift   0.040    0.0046    21.474  -84.119  1.385e-46
 drift   0.040    0.0046    21.135  -77.591  1.329e-43
 drift   0.040    0.0047    19.294  -83.051  3.568e-45
 drift   0.040    0.0047    30.594  -80.591  5.161e-49
 drift   0.040    0.0047    10.962  -83.114  1.390e-41
 drift   0.040    0.0047    25.019  -73.521  1.602e-43
 drift   0.040    0.0047    20.897  -79.663  2.124e-44
 drift   0.040    0.0047    13.694  -77.625  2.191e-40
 drift   0.040    0.0047    17.126  -87.138  5.232e-46
 drift   0.040    0.0047    10.850  -81.535  7.547e-41
 drift   0.040    0.0048    14.821  -88.425  1.448e-45
 drift   0.040    0.0048    15.335  -81.911  5.845e-43
 drift   0.070    0.0046    10.900 -206.387  4.300e-95
 drift   0.070    0.0047     3.796 -214.323  1.870e-95
 drift   0.070    0.0047     3.069 -186.751  3.647e-83
 drift   0.070    0.0047    12.641 -255.929 2.298e-117
 drift   0.070    0.0047     4.535 -240.717 3.077e-107
 drift   0.070    0.0047     6.790 -256.037 7.167e-115
 drift   0.070    0.0048     4.210 -235.818 5.718e-105
 drift   0.070    0.0048    14.257 -205.187  4.974e-96
 drift   0.070    0.0048    17.527 -229.817 3.799e-108
 drift   0.070    0.0048    -0.952 -273.579 1.535e-119
 drift   0.070    0.0048    -3.195 -294.726 1.005e-128
 drift   0.070    0.0048     5.475 -254.549 1.184e-113
 drift   0.070    0.0048    12.741 -256.819 8.541e-118
 drift   0.070    0.0048    21.361 -258.033 4.580e-122
 drift   0.070    0.0048     5.249 -214.409  4.014e-96
 drift   0.070    0.0049     3.007 -255.432 5.776e-113
 drift   0.070    0.0049    16.387 -243.859 9.477e-114
 drift   0.070    0.0049    20.547 -250.737 1.524e-118
 drift   0.070    0.0049     0.839 -251.312 3.106e-110
 drift   0.070    0.0049     6.101 -269.023 3.274e-120
 drift   0.070    0.0049     8.933 -273.350 2.549e-123
 drift   0.070    0.0049    24.368 -262.033 4.148e-125
 drift   0.070    0.0049     7.880 -264.197 6.893e-119
 drift   0.070    0.0049    22.288 -201.706  5.255e-98
 drift   0.070    0.0049     3.395 -261.428 9.748e-116
 drift   0.070    0.0049    14.132 -235.597 3.501e-109
 drift   0.070    0.0049    10.449 -296.029 7.914e-134
 drift   0.070    0.0049     8.895 -293.083 7.119e-132
 drift   0.070    0.0050     6.176 -271.315 3.069e-121
 drift   0.070    0.0050    11.701 -244.276 6.766e-112
 drift   0.070    0.0050     9.484 -258.398 4.576e-117
 drift   0.070    0.0050    18.893 -282.696 1.052e-131
 drift   0.070    0.0050     7.893 -258.838 1.447e-116
 drift   0.070    0.0050     8.331 -251.587 1.315e-113
 drift   0.070    0.0050    12.127 -270.177 2.493e-123
 drift   0.070    0.0050     7.379 -278.229 9.165e-125
 drift   0.070    0.0051    10.399 -277.033 1.479e-125
 drift   0.070    0.0051    17.402 -282.705 4.627e-131
 drift   0.070    0.0052    13.944 -264.785 8.902e-122
 drift   0.070    0.0052    -1.015 -268.673 2.075e-117
 drift   0.100    0.0051     0.702 -507.843 1.387e-221
 drift   0.100    0.0051    -0.864 -497.447 9.155e-217
 drift   0.100    0.0052     5.500 -535.993 6.800e-236
 drift   0.100    0.0052     6.941 -486.836 3.592e-215
 drift   0.100    0.0052     6.728 -473.075 4.212e-209
 drift   0.100    0.0052     0.952 -499.625 4.002e-218
 drift   0.100    0.0052    13.142 -491.741 5.394e-220
 drift   0.100    0.0052    22.100 -512.097 1.003e-232
 drift   0.100    0.0052    -6.552 -525.009 9.810e-229
 drift   0.100    0.0052    13.092 -529.426 2.441e-236
 drift   0.100    0.0053     4.047 -501.394 3.089e-220
 drift   0.100    0.0053    -3.558 -519.248 3.114e-226
 drift   0.100    0.0053    14.646 -515.027 9.249e-231
 drift   0.100    0.0053    11.326 -476.882 9.424e-213
 drift   0.100    0.0053     9.233 -515.237 1.680e-228
 drift   0.100    0.0053     9.334 -496.540 2.004e-220
 drift   0.100    0.0053    12.666 -485.593 4.063e-217
 drift   0.100    0.0053    13.668 -509.976 3.836e-228
 drift   0.100    0.0053    12.453 -507.258 1.960e-226
 drift   0.100    0.0054    15.811 -501.749 1.686e-225
 drift   0.100    0.0054     6.540 -497.638 1.092e-219
 drift   0.100    0.0054     7.805 -551.578 1.156e-243
 drift   0.100    0.0054     4.698 -577.517 1.404e-253
 drift   0.100    0.0054     9.058 -535.822 2.300e-237
 drift   0.100    0.0054     2.568 -517.778 1.039e-226
 drift   0.100    0.0054    -9.183 -542.810 1.823e-236
 drift   0.100    0.0055    13.192 -493.884 6.018e-221
 drift   0.100    0.0055     8.532 -487.504 3.753e-216
 drift   0.100    0.0055    12.140 -485.987 4.636e-217
 drift   0.100    0.0055    15.949 -521.797 2.885e-234
 drift   0.100    0.0055     5.926 -522.542 3.087e-230
 drift   0.100    0.0055    -2.431 -592.053 7.496e-258
 drift   0.100    0.0056     8.469 -524.405 3.763e-232
 drift   0.100    0.0056     3.583 -569.941 8.349e-250
 drift   0.100    0.0056     7.229 -581.544 1.992e-256
 drift   0.100    0.0056     9.321 -517.950 1.022e-229
 drift   0.100    0.0056     0.639 -555.838 2.114e-242
 drift   0.100    0.0056     7.542 -542.538 1.269e-239
 drift   0.100    0.0057     4.723 -533.510 1.771e-234
 drift   0.100    0.0057    -2.944 -553.152 5.876e-241
 drift   0.140    0.0058     9.133 -921.751  0.000e+00
 drift   0.140    0.0058     1.929 -968.913  0.000e+00
 drift   0.140    0.0059     7.805 -917.316  0.000e+00
 drift   0.140    0.0059    -2.067 -986.668  0.000e+00
 drift   0.140    0.0059     6.402 -997.543  0.000e+00
 drift   0.140    0.0059     5.487 -958.616  0.000e+00
 drift   0.140    0.0060     5.500 -939.745  0.000e+00
 drift   0.140    0.0060    16.074 -961.693  0.000e+00
 drift   0.140    0.0060    -8.018 -939.816  0.000e+00
 drift   0.140    0.0060    -1.779 -1015.041  0.000e+00
 drift   0.140    0.0060    16.074 -955.253  0.000e+00
 drift   0.140    0.0060     3.896 -981.327  0.000e+00
 drift   0.140    0.0060    -1.854 -967.198  0.000e+00
 drift   0.140    0.0061     9.860 -967.819  0.000e+00
 drift   0.140    0.0061     2.042 -977.153  0.000e+00
 drift   0.140    0.0061     1.015 -991.317  0.000e+00
 drift   0.140    0.0061    -5.863 -967.393  0.000e+00
 drift   0.140    0.0061    -2.456 -929.528  0.000e+00
 drift   0.140    0.0061   -10.010 -981.405  0.000e+00
 drift   0.140    0.0061     3.834 -984.476  0.000e+00
 drift   0.140    0.0061     3.458 -965.365  0.000e+00
 drift   0.140    0.0062    -3.057 -958.036  0.000e+00
 drift   0.140    0.0062     9.384 -991.814  0.000e+00
 drift   0.140    0.0062     3.784 -969.490  0.000e+00
 drift   0.140    0.0062    11.188 -947.093  0.000e+00
 drift   0.140    0.0062     2.468 -1018.833  0.000e+00
 drift   0.140    0.0062    17.289 -1011.905  0.000e+00
 drift   0.140    0.0062     3.871 -1054.817  0.000e+00
 drift   0.140    0.0062     8.594 -980.251  0.000e+00
 drift   0.140    0.0062     5.149 -961.343  0.000e+00
 drift   0.140    0.0062     0.113 -981.830  0.000e+00
 drift   0.140    0.0062     6.339 -978.289  0.000e+00
 drift   0.140    0.0062     3.809 -977.897  0.000e+00
 drift   0.140    0.0062     9.709 -981.904  0.000e+00
 drift   0.140    0.0062   -12.002 -984.381  0.000e+00
 drift   0.140    0.0063     0.789 -1006.173  0.000e+00
 drift   0.140    0.0063    -4.423 -1030.163  0.000e+00
 drift   0.140    0.0063   -10.561 -969.561  0.000e+00
 drift   0.140    0.0063    10.862 -1018.610  0.000e+00
 drift   0.140    0.0063     9.597 -994.540  0.000e+00
 drift   0.180    0.0067     3.784 -1507.485  0.000e+00
 drift   0.180    0.0068    -6.502 -1526.329  0.000e+00
 drift   0.180    0.0068     4.623 -1492.019  0.000e+00
 drift   0.180    0.0068    11.125 -1495.293  0.000e+00
 drift   0.180    0.0069     6.765 -1512.594  0.000e+00
 drift   0.180    0.0069    14.032 -1536.182  0.000e+00
 drift   0.180    0.0069     0.965 -1521.262  0.000e+00
 drift   0.180    0.0069    -3.220 -1539.908  0.000e+00
 drift   0.180    0.0069     4.899 -1527.700  0.000e+00
 drift   0.180    0.0069    13.418 -1550.999  0.000e+00
 drift   0.180    0.0069     0.388 -1586.901  0.000e+00
 drift   0.180    0.0069    -3.383 -1558.240  0.000e+00
 drift   0.180    0.0069     0.714 -1507.642  0.000e+00
 drift   0.180    0.0069     2.806 -1541.907  0.000e+00
 drift   0.180    0.0070    11.338 -1506.452  0.000e+00
 drift   0.180    0.0070     9.246 -1535.354  0.000e+00
 drift   0.180    0.0070   -14.170 -1533.620  0.000e+00
 drift   0.180    0.0070    12.992 -1499.921  0.000e+00
 drift   0.180    0.0070    -0.363 -1550.206  0.000e+00
 drift   0.180    0.0070     0.025 -1600.402  0.000e+00
 drift   0.180    0.0070     4.585 -1590.750  0.000e+00
 drift   0.180    0.0070     9.897 -1566.362  0.000e+00
 drift   0.180    0.0071     4.034 -1597.751  0.000e+00
 drift   0.180    0.0071    -0.363 -1602.725  0.000e+00
 drift   0.180    0.0071    16.086 -1605.634  0.000e+00
 drift   0.180    0.0071     3.044 -1577.699  0.000e+00
 drift   0.180    0.0071    11.213 -1545.721  0.000e+00
 drift   0.180    0.0071     2.092 -1641.036  0.000e+00
 drift   0.180    0.0071    18.717 -1585.391  0.000e+00
 drift   0.180    0.0071     7.918 -1625.124  0.000e+00
 drift   0.180    0.0071     7.743 -1639.004  0.000e+00
 drift   0.180    0.0071    12.578 -1534.824  0.000e+00
 drift   0.180    0.0071    -3.232 -1566.366  0.000e+00
