score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  rotate   0.120    0.0746   301.019 1.858e-131
  rotate   0.120    0.0746   209.337  1.220e-91
  rotate   0.120    0.0747   392.201 4.671e-171
  rotate   0.120    0.0748   225.360  1.340e-98
  rotate   0.120    0.0753   337.376 3.015e-147
  rotate   0.120    0.0754   191.559  6.413e-84
  rotate   0.120    0.0754   205.277  7.066e-90
  rotate   0.120    0.0759   549.557 2.140e-239
  rotate   0.120    0.0759  1961.843  0.000e+00
  rotate   0.120    0.0762   369.361 3.876e-161
  rotate   0.120    0.0767  2397.654  0.000e+00
  rotate   0.120    0.0768   522.633 1.055e-227
  rotate   0.120    0.0773   143.387  5.342e-63
  rotate   0.120    0.0779   231.274 3.623e-101
  rotate   0.120    0.0782   543.456 9.555e-237
  rotate   0.120    0.0786   180.246  5.252e-79
  rotate   0.120    0.0787   138.125  1.030e-60
  rotate   0.120    0.0789  1363.312  0.000e+00
  rotate   0.120    0.0789   186.410  1.105e-81
  rotate   0.120    0.0789   768.227  0.000e+00
  rotate   0.120    0.0789   133.139  1.508e-58
  rotate   0.120    0.0790   188.189  1.865e-82
  rotate   0.120    0.0791   170.749  6.992e-75
  rotate   0.120    0.0792   355.104 6.029e-155
  rotate   0.120    0.0793   169.033  3.890e-74
  rotate   0.120    0.0797   866.650  0.000e+00
  rotate   0.120    0.0797   543.581 8.429e-237
  rotate   0.120    0.0797   895.528  0.000e+00
  rotate   0.120    0.0798   168.707  5.388e-74
  rotate   0.120    0.0798   867.640  0.000e+00
  rotate   0.120    0.0800   817.376  0.000e+00
  rotate   0.120    0.0801   164.422  3.911e-72
  rotate   0.120    0.0802   202.834  8.132e-89
  rotate   0.120    0.0803   407.874 7.290e-178
  rotate   0.120    0.0805   152.746  4.606e-67
  rotate   0.120    0.0806   314.512 2.565e-137
  rotate   0.120    0.0809   246.208 1.184e-107
  rotate   0.120    0.0809   351.220 2.931e-153

 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.880  3.781e-04
 learned   0.050    0.0014     7.805  4.076e-04
 learned   0.050    0.0014     7.918  3.642e-04
 learned   0.050    0.0014     7.805  4.076e-04
 learned   0.050    0.0014     7.805  4.076e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.918  3.642e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.918  3.642e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.968  3.464e-04
 learned   0.050    0.0014     7.918  3.642e-04
 learned   0.100    0.0028     7.317  6.644e-04
 learned   0.100    0.0028     7.292  6.813e-04
 learned   0.100    0.0028     6.966  9.436e-04
 learned   0.100    0.0028     7.266  6.986e-04
 learned   0.100    0.0028     7.479  5.646e-04
 learned   0.100    0.0028     7.179  7.626e-04
 learned   0.100    0.0028     7.555  5.237e-04
 learned   0.100    0.0028     7.191  7.531e-04
 learned   0.100    0.0028     7.003  9.088e-04
 learned   0.100    0.0028     7.191  7.531e-04
 learned   0.100    0.0028     7.104  8.222e-04
 learned   0.100    0.0028     7.392  6.163e-04
 learned   0.100    0.0028     7.254  7.074e-04
 learned   0.100    0.0028     7.229  7.253e-04
 learned   0.100    0.0028     6.891  1.017e-03
 learned   0.100    0.0028     6.840  1.070e-03
 learned   0.100    0.0028     6.502  1.500e-03
 learned   0.100    0.0028     7.279  6.899e-04
 learned   0.100    0.0028     7.079  8.430e-04
 learned   0.100    0.0028     7.154  7.820e-04
 learned   0.100    0.0028     7.104  8.222e-04
 learned   0.100    0.0028     6.891  1.017e-03
 learned   0.100    0.0028     6.803  1.111e-03
 learned   0.100    0.0028     6.891  1.017e-03
 learned   0.100    0.0028     6.916  9.921e-04
 learned   0.100    0.0028     6.991  9.203e-04
 learned   0.100    0.0028     7.254  7.074e-04
 learned   0.100    0.0028     6.953  9.555e-04
 learned   0.100    0.0028     7.555  5.237e-04
 learned   0.100    0.0028     6.991  9.203e-04
 learned   0.100    0.0028     6.840  1.070e-03
 learned   0.100    0.0028     7.254  7.074e-04
 learned   0.100    0.0028     6.878  1.030e-03
 learned   0.100    0.0028     7.041  8.753e-04
 learned   0.100    0.0028     6.953  9.555e-04
 learned   0.100    0.0028     6.740  1.182e-03
 learned   0.100    0.0028     6.540  1.445e-03
 learned   0.100    0.0028     6.402  1.658e-03
 learned   0.100    0.0028     7.229  7.253e-04
 learned   0.100    0.0028     6.803  1.111e-03
 learned   0.200    0.0057     6.703  1.228e-03
 learned   0.200    0.0057     8.006  3.336e-04
 learned   0.200    0.0057     6.966  9.436e-04
 learned   0.200    0.0057     7.016  8.975e-04
 learned   0.200    0.0057     7.367  6.320e-04
 learned   0.200    0.0057     8.031  3.253e-04
 learned   0.200    0.0057     7.266  6.986e-04
 learned   0.200    0.0057     6.828  1.083e-03
 learned   0.200    0.0057     7.805  4.076e-04
 learned   0.200    0.0057     7.692  4.563e-04
 learned   0.200    0.0057     8.281  2.532e-04
 learned   0.200    0.0057     6.953  9.555e-04
 learned   0.200    0.0057     7.605  4.981e-04
 learned   0.200    0.0057     8.081  3.094e-04
 learned   0.200    0.0057     7.555  5.237e-04
 learned   0.200    0.0057     7.504  5.506e-04
 learned   0.200    0.0057     7.467  5.717e-04
 learned   0.200    0.0057     6.928  9.798e-04
 learned   0.200    0.0057     7.079  8.430e-04
 learned   0.200    0.0057     7.342  6.480e-04
 learned   0.200    0.0057     7.154  7.820e-04
 learned   0.200    0.0058     6.941  9.676e-04
 learned   0.200    0.0058     7.780  4.180e-04
 learned   0.200    0.0058     7.981  3.420e-04
 learned   0.200    0.0058     7.580  5.107e-04
 learned   0.200    0.0058     8.194  2.764e-04
 learned   0.200    0.0058     8.093  3.056e-04
 learned   0.200    0.0058     7.655  4.737e-04
 learned   0.200    0.0058     7.517  5.437e-04
 learned   0.200    0.0058     6.928  9.798e-04
 learned   0.200    0.0058     7.755  4.286e-04
 learned   0.200    0.0058     8.093  3.056e-04
 learned   0.200    0.0058     7.730  4.394e-04
 learned   0.200    0.0058     7.592  5.044e-04
 learned   0.200    0.0058     7.479  5.646e-04
 learned   0.200    0.0058     7.429  5.936e-04
 learned   0.200    0.0058     7.655  4.737e-04
 learned   0.200    0.0058     7.442  5.862e-04
 learned   0.200    0.0058     6.891  1.017e-03
 learned   0.200    0.0058     7.229  7.253e-04
 learned   0.350    0.0101    11.388  1.133e-05
 learned   0.350    0.0101    12.090  5.616e-06
 learned   0.350    0.0101    11.438  1.077e-05
 learned   0.350    0.0101    11.388  1.133e-05
 learned   0.350    0.0101    12.691  3.078e-06
 learned   0.350    0.0101    12.641  3.236e-06
 learned   0.350    0.0101    11.764  7.779e-06
 learned   0.350    0.0101    11.589  9.270e-06
 learned   0.350    0.0101    12.228  4.893e-06
 learned   0.350    0.0101    12.153  5.275e-06
 learned   0.350    0.0101    11.927  6.609e-06
 learned   0.350    0.0101    12.954  2.366e-06
 learned   0.350    0.0101    12.040  5.905e-06
 learned   0.350    0.0101    12.077  5.687e-06
 learned   0.350    0.0102    12.453  3.905e-06
 learned   0.350    0.0102    12.090  5.616e-06
 learned   0.350    0.0102    13.506  1.363e-06
 learned   0.350    0.0102    12.303  4.539e-06
 learned   0.350    0.0102    11.852  7.125e-06
 learned   0.350    0.0102    12.616  3.318e-06
 learned   0.350    0.0102    12.353  4.317e-06
 learned   0.350    0.0102    12.629  3.277e-06
 learned   0.350    0.0102    12.553  3.533e-06
 learned   0.350    0.0102    13.092  2.061e-06
 learned   0.350    0.0102    13.932  8.904e-07
 learned   0.350    0.0103    12.679  3.117e-06
 learned   0.350    0.0103    12.641  3.236e-06
 learned   0.350    0.0103    12.428  4.004e-06
 learned   0.350    0.0104    12.854  2.615e-06
 learned   0.350    0.0104    14.069  7.758e-07
 learned   0.350    0.0104    13.405  1.507e-06
 learned   0.350    0.0104    14.119  7.379e-07
 learned   0.350    0.0104    13.593  1.249e-06
 learned   0.350    0.0104    13.355  1.584e-06
 learned   0.350    0.0104    13.994  8.364e-07
 learned   0.350    0.0104    13.055  2.140e-06
 learned   0.350    0.0104    13.205  1.842e-06
 learned   0.350    0.0104    13.130  1.985e-06
 learned   0.350    0.0105    13.330  1.625e-06
 learned   0.350    0.0105    13.155  1.936e-06
 learned   0.500    0.0144    21.211  6.143e-10
 learned   0.500    0.0144    21.624  4.063e-10
 learned   0.500    0.0145    21.824  3.325e-10
 learned   0.500    0.0145    22.376  1.916e-10
 learned   0.500    0.0146    21.110  6.791e-10
 learned   0.500    0.0146    21.211  6.143e-10
 learned   0.500    0.0146    22.012  2.755e-10
 learned   0.500    0.0146    21.411  5.027e-10
 learned   0.500    0.0146    23.140  8.922e-11
 learned   0.500    0.0147    23.528  6.051e-11
 learned   0.500    0.0147    23.015  1.011e-10
 learned   0.500    0.0147    23.416  6.773e-11
 learned   0.500    0.0147    21.248  5.916e-10
 learned   0.500    0.0147    22.401  1.868e-10
 learned   0.500    0.0147    22.501  1.690e-10
 learned   0.500    0.0147    22.275  2.118e-10
 learned   0.500    0.0148    24.318  2.748e-11
 learned   0.500    0.0148    22.676  1.418e-10
 learned   0.500    0.0148    22.025  2.721e-10
 learned   0.500    0.0148    22.589  1.548e-10
 learned   0.500    0.0149    22.789  1.267e-10
 learned   0.500    0.0150    23.679  5.206e-11
 learned   0.500    0.0150    22.664  1.436e-10
 learned   0.500    0.0151    22.714  1.366e-10
 learned   0.500    0.0151    22.526  1.648e-10
 learned   0.500    0.0151    24.155  3.234e-11
 learned   0.500    0.0151    25.470  8.678e-12
 learned   0.500    0.0151    24.054  3.575e-11
 learned   0.500    0.0151    23.867  4.314e-11
 learned   0.500    0.0152    24.493  2.306e-11
 learned   0.500    0.0152    24.305  2.783e-11
 learned   0.500    0.0152    25.182  1.158e-11
 learned   0.500    0.0153    25.182  1.158e-11
 learned   0.500    0.0153    25.833  6.035e-12
 learned   0.500    0.0153    24.643  1.984e-11
 learned   0.500    0.0154    23.340  7.302e-11
 learned   0.500    0.0154    25.796  6.266e-12
 learned   0.500    0.0154    25.257  1.074e-11
 learned   0.500    0.0154    25.019  1.362e-11
 learned   0.500    0.0155    24.668  1.935e-11
 learned   0.750    0.0215    44.463  4.896e-20
 learned   0.750    0.0216    43.611  1.148e-19
 learned   0.750    0.0217    45.102  2.585e-20
 learned   0.750    0.0217    44.175  6.532e-20
 learned   0.750    0.0217    46.593  5.820e-21
 learned   0.750    0.0217    44.902  3.158e-20
 learned   0.750    0.0218    45.428  1.866e-20
 learned   0.750    0.0218    47.495  2.361e-21
 learned   0.750    0.0219    47.483  2.391e-21
 learned   0.750    0.0220    48.272  1.086e-21
 learned   0.750    0.0220    45.703  1.417e-20
 learned   0.750    0.0222    48.923  5.661e-22
 learned   0.750    0.0223    47.382  2.643e-21
 learned   0.750    0.0223    52.494  1.593e-23
 learned   0.750    0.0223    51.742  3.378e-23
 learned   0.750    0.0223    51.016  6.986e-23
 learned   0.750    0.0223    50.978  7.254e-23
 learned   0.750    0.0224    55.025  1.268e-24
 learned   0.750    0.0225    51.041  6.813e-23
 learned   0.750    0.0226    57.079  1.625e-25
 learned   0.750    0.0227    51.667  3.642e-23
 learned   0.750    0.0227    56.227  3.809e-25
 learned   0.750    0.0229    54.110  3.165e-24
 learned   0.750    0.0230    52.506  1.573e-23
 learned   0.750    0.0230    52.080  2.409e-23
 learned   0.750    0.0231    51.454  4.506e-23
 learned   0.750    0.0231    53.471  5.995e-24
 learned   0.750    0.0231    51.379  4.858e-23
 learned   0.750    0.0232    54.523  2.093e-24
 learned   0.750    0.0232    56.741  2.279e-25
 learned   0.750    0.0232    52.018  2.564e-23
 learned   0.750    0.0233    53.709  4.725e-24
 learned   0.750    0.0233    56.328  3.446e-25
 learned   0.750    0.0235    53.496  5.847e-24
 learned   0.750    0.0235    54.185  2.935e-24
 learned   0.750    0.0236    55.989  4.832e-25
 learned   0.750    0.0237    54.711  1.734e-24
 learned   0.750    0.0241    57.818  7.758e-26
 learned   0.750    0.0242    57.255  1.363e-25
 learned   0.750    0.0243    59.823  1.045e-26
 learned   1.000    0.0281    72.903  2.182e-32
 learned   1.000    0.0284    72.414  3.556e-32
 learned   1.000    0.0286    76.887  4.060e-34
 learned   1.000    0.0290    86.571  2.527e-38
 learned   1.000    0.0291    84.303  2.441e-37
 learned   1.000    0.0291    76.411  6.536e-34
 learned   1.000    0.0291    78.866  5.609e-35
 learned   1.000    0.0292    87.310  1.207e-38
 learned   1.000    0.0294    77.325  2.619e-34
 learned   1.000    0.0294    80.846  7.748e-36
 learned   1.000    0.0295    80.783  8.249e-36
 learned   1.000    0.0297    81.084  6.107e-36
 learned   1.000    0.0298    84.842  1.424e-37
 learned   1.000    0.0299    90.016  8.061e-40
 learned   1.000    0.0302    90.743  3.898e-40
 learned   1.000    0.0303    90.931  3.230e-40
 learned   1.000    0.0303    90.430  5.331e-40
 learned   1.000    0.0303    80.846  7.748e-36
 learned   1.000    0.0303    86.346  3.167e-38
 learned   1.000    0.0304    87.511  9.876e-39
 learned   1.000    0.0305    88.588  3.363e-39
 learned   1.000    0.0305    98.022  2.689e-43
 learned   1.000    0.0305    88.325  4.375e-39
 learned   1.000    0.0306    92.246  8.668e-41
 learned   1.000    0.0307    92.497  6.747e-41
 learned   1.000    0.0307    92.309  8.141e-41
 learned   1.000    0.0308    88.926  2.398e-39
 learned   1.000    0.0309    92.509  6.663e-41
 learned   1.000    0.0310    92.397  7.458e-41
 learned   1.000    0.0313    96.945  7.898e-43
 learned   1.000    0.0313    91.332  2.163e-40
 learned   1.000    0.0313    93.098  3.698e-41
 learned   1.000    0.0314    93.098  3.698e-41
 learned   1.000    0.0314    92.647  5.805e-41
 learned   1.000    0.0315    98.323  1.991e-43
 learned   1.000    0.0316    92.873  4.633e-41
 learned   1.000    0.0319    94.439  9.677e-42
 learned   1.000    0.0320    99.413  6.693e-44
 learned   1.000    0.0322    95.754  2.597e-42
 learned   1.000    0.0322    99.926  4.005e-44

radius 0.70  waters 47
    move    step    RMS nm     dU/kT     accept
  jiggle   0.250    0.0040     3.333  3.570e-02
  jiggle   0.250    0.0040     0.539  5.835e-01
  jiggle   0.250    0.0041    -2.694  1.000e+00
  jiggle   0.250    0.0042     2.155  1.159e-01
  jiggle   0.250    0.0042     8.732  1.613e-04
  jiggle   0.250    0.0042     5.425  4.406e-03
  jiggle   0.250    0.0042    -1.541  1.000e+00
  jiggle   0.250    0.0043     9.672  6.303e-05
  jiggle   0.250    0.0043    10.737  2.173e-05
  jiggle   0.250    0.0044     6.866  1.043e-03
  jiggle   0.250    0.0044    11.451  1.064e-05
  jiggle   0.250    0.0044     4.761  8.559e-03
  jiggle   0.250    0.0044     6.352  1.743e-03
  jiggle   0.250    0.0044     1.391  2.489e-01
  jiggle   0.250    0.0045     2.167  1.145e-01
  jiggle   0.250    0.0045     9.860  5.223e-05
  jiggle   0.250    0.0045     3.132  4.363e-02
  jiggle   0.250    0.0045    10.135  3.965e-05
  jiggle   0.250    0.0045     4.686  9.227e-03
  jiggle   0.250    0.0045     7.442  5.862e-04
  jiggle   0.250    0.0046     9.960  4.725e-05
  jiggle   0.250    0.0046    -0.639  1.000e+00
  jiggle   0.250    0.0046     2.456  8.582e-02
  jiggle   0.250    0.0046    -2.067  1.000e+00
  jiggle   0.250    0.0046    -3.408  1.000e+00
  jiggle   0.250    0.0046     0.438  6.450e-01
  jiggle   0.250    0.0047     2.631  7.201e-02
  jiggle   0.250    0.0047     8.469  2.098e-04
  jiggle   0.250    0.0047     6.051  2.355e-03
  jiggle   0.250    0.0048     6.953  9.555e-04
  jiggle   0.250    0.0048     6.715  1.212e-03
  jiggle   0.250    0.0048     3.182  4.149e-02
  jiggle   0.250    0.0048     0.088  9.160e-01
  jiggle   0.250    0.0049     5.412  4.462e-03
  jiggle   0.250    0.0049     5.437  4.351e-03
  jiggle   0.250    0.0049     7.404  6.087e-04
  jiggle   0.250    0.0049     9.684  6.225e-05
  jiggle   0.250    0.0049     1.077  3.405e-01
  jiggle   0.250    0.0050     3.721  2.421e-02
  jiggle   0.250    0.0052     1.341  2.617e-01
  jiggle   0.500    0.0079    14.207  6.759e-07
  jiggle   0.500    0.0082    18.755  7.158e-09
  jiggle   0.500    0.0082    15.598  1.682e-07
  jiggle   0.500    0.0084     6.239  1.952e-03
  jiggle   0.500    0.0085     6.615  1.340e-03
  jiggle   0.500    0.0085    22.037  2.687e-10
  jiggle   0.500    0.0085    21.812  3.367e-10
  jiggle   0.500    0.0086    23.478  6.362e-11
  jiggle   0.500    0.0086     6.565  1.409e-03
  jiggle   0.500    0.0087    19.081  5.168e-09
  jiggle   0.500    0.0087    29.341  1.808e-13
  jiggle   0.500    0.0087    25.658  7.192e-12
  jiggle   0.500    0.0087    18.179  1.274e-08
  jiggle   0.500    0.0088    11.313  1.221e-05
  jiggle   0.500    0.0088    25.558  7.950e-12
  jiggle   0.500    0.0088    21.273  5.770e-10
  jiggle   0.500    0.0088    25.884  5.740e-12
  jiggle   0.500    0.0089    11.990  6.208e-06
  jiggle   0.500    0.0089     9.534  7.234e-05
  jiggle   0.500    0.0089    12.015  6.055e-06
  jiggle   0.500    0.0089    12.278  4.654e-06
  jiggle   0.500    0.0089    18.016  1.499e-08
  jiggle   0.500    0.0090    17.690  2.076e-08
  jiggle   0.500    0.0090    24.318  2.748e-11
  jiggle   0.500    0.0091    15.209  2.481e-07
  jiggle   0.500    0.0091    25.821  6.111e-12
  jiggle   0.500    0.0091    19.006  5.572e-09
  jiggle   0.500    0.0091    18.993  5.642e-09
  jiggle   0.500    0.0092    25.821  6.111e-12
  jiggle   0.500    0.0093    11.501  1.012e-05
  jiggle   0.500    0.0093    19.219  4.503e-09
  jiggle   0.500    0.0093     2.468  8.475e-02
  jiggle   0.500    0.0093    24.217  3.038e-11
  jiggle   0.500    0.0094    35.681  3.192e-16
  jiggle   0.500    0.0095    28.089  6.328e-13
  jiggle   0.500    0.0097    19.782  2.562e-09
  jiggle   0.500    0.0097    21.223  6.067e-10
  jiggle   0.500    0.0098    30.807  4.174e-14
  jiggle   0.500    0.0099    14.909  3.351e-07
  jiggle   0.500    0.0101    24.957  1.451e-11
  jiggle   0.750    0.0121    33.062  4.377e-15
  jiggle   0.750    0.0122    36.520  1.379e-16
  jiggle   0.750    0.0122    13.117  2.010e-06
  jiggle   0.750    0.0125    27.826  8.233e-13
  jiggle   0.750    0.0125    20.559  1.178e-09
  jiggle   0.750    0.0126    38.788  1.428e-17
  jiggle   0.750    0.0126    27.274  1.429e-12
  jiggle   0.750    0.0128    62.704  5.858e-28
  jiggle   0.750    0.0128     8.457  2.125e-04
  jiggle   0.750    0.0129    27.349  1.325e-12
  jiggle   0.750    0.0130    43.073  1.967e-19
  jiggle   0.750    0.0131    41.068  1.460e-18
  jiggle   0.750    0.0132    28.314  5.051e-13
  jiggle   0.750    0.0132    35.054  5.971e-16
  jiggle   0.750    0.0133    30.782  4.280e-14
  jiggle   0.750    0.0133    32.912  5.087e-15
  jiggle   0.750    0.0134    47.244  3.034e-21
  jiggle   0.750    0.0134    51.404  4.738e-23
  jiggle   0.750    0.0135    41.218  1.256e-18
  jiggle   0.750    0.0135    62.116  1.056e-27
  jiggle   0.750    0.0136    43.561  1.207e-19
  jiggle   0.750    0.0136    64.333  1.149e-28
  jiggle   0.750    0.0137    38.362  2.186e-17
  jiggle   0.750    0.0137    51.542  4.128e-23
  jiggle   0.750    0.0138    60.813  3.885e-27
  jiggle   0.750    0.0139    61.627  1.721e-27
  jiggle   0.750    0.0139    39.339  8.227e-18
  jiggle   0.750    0.0142    57.305  1.297e-25
  jiggle   0.750    0.0142    57.255  1.363e-25
  jiggle   0.750    0.0143    33.225  3.719e-15
  jiggle   0.750    0.0143    35.819  2.781e-16
  jiggle   0.750    0.0144    47.858  1.642e-21
  jiggle   0.750    0.0144    67.265  6.127e-30
  jiggle   0.750    0.0144    47.595  2.136e-21
  jiggle   0.750    0.0147    38.475  1.953e-17
  jiggle   0.750    0.0148    55.789  5.905e-25
  jiggle   0.750    0.0150    43.774  9.753e-20
  jiggle   0.750    0.0154    81.936  2.605e-36
  jiggle   0.750    0.0154    53.596  5.289e-24
  jiggle   0.750    0.0154    60.224  7.000e-27
  jiggle   1.000    0.0160    51.191  5.862e-23
  jiggle   1.000    0.0161    70.560  2.271e-31
  jiggle   1.000    0.0164    92.923  4.406e-41
  jiggle   1.000    0.0165    93.148  3.517e-41
  jiggle   1.000    0.0165    64.646  8.403e-29
  jiggle   1.000    0.0168    30.795  4.227e-14
  jiggle   1.000    0.0170    43.536  1.237e-19
  jiggle   1.000    0.0173    61.389  2.183e-27
  jiggle   1.000    0.0174    60.437  5.657e-27
  jiggle   1.000    0.0175   127.814  3.097e-56
  jiggle   1.000    0.0175   104.061  6.413e-46
  jiggle   1.000    0.0175    88.438  3.908e-39
  jiggle   1.000    0.0175    49.738  2.507e-22
  jiggle   1.000    0.0176    78.027  1.298e-34
  jiggle   1.000    0.0177   102.820  2.217e-45
  jiggle   1.000    0.0177    52.619  1.405e-23
  jiggle   1.000    0.0179    80.645  9.468e-36
  jiggle   1.000    0.0179    52.206  2.125e-23
  jiggle   1.000    0.0179    66.726  1.050e-29
  jiggle   1.000    0.0179    67.315  5.828e-30
  jiggle   1.000    0.0180    71.838  6.328e-32
  jiggle   1.000    0.0182    63.707  2.150e-28
  jiggle   1.000    0.0182    71.161  1.245e-31
  jiggle   1.000    0.0183   110.212  1.366e-48
  jiggle   1.000    0.0186    72.702  2.666e-32
  jiggle   1.000    0.0188    86.571  2.527e-38
  jiggle   1.000    0.0189    92.961  4.244e-41
  jiggle   1.000    0.0190    73.654  1.029e-32
  jiggle   1.000    0.0190    77.363  2.522e-34
  jiggle   1.000    0.0190    61.915  1.290e-27
  jiggle   1.000    0.0191    73.892  8.109e-33
  jiggle   1.000    0.0191   110.550  9.741e-49
  jiggle   1.000    0.0191   122.427  6.769e-54
  jiggle   1.000    0.0192    81.447  4.247e-36
  jiggle   1.000    0.0192    52.719  1.271e-23
  jiggle   1.000    0.0194   110.726  8.174e-49
  jiggle   1.000    0.0195   103.973  7.000e-46
  jiggle   1.000    0.0196    90.430  5.331e-40
  jiggle   1.000    0.0197    96.706  1.002e-42
  jiggle   1.000    0.0202   113.695  4.197e-50
  jiggle   1.500    0.0243   247.247 4.186e-108
  jiggle   1.500    0.0245   170.135  1.292e-74
  jiggle   1.500    0.0248   104.862  2.876e-46
  jiggle   1.500    0.0250   205.966  3.548e-90
  jiggle   1.500    0.0251   246.045 1.394e-107
  jiggle   1.500    0.0252   154.725  6.362e-68
  jiggle   1.500    0.0253   175.522  5.910e-77
  jiggle   1.500    0.0255   162.806  1.969e-71
  jiggle   1.500    0.0256   169.020  3.939e-74
  jiggle   1.500    0.0257   155.277  3.666e-68
  jiggle   1.500    0.0257   145.880  4.415e-64
  jiggle   1.500    0.0258   135.256  1.815e-59
  jiggle   1.500    0.0259   155.865  2.035e-68
  jiggle   1.500    0.0259   164.360  4.164e-72
  jiggle   1.500    0.0262   118.468  3.547e-52
  jiggle   1.500    0.0263   204.789  1.152e-89
  jiggle   1.500    0.0265   173.092  6.716e-76
  jiggle   1.500    0.0265   195.956  7.894e-86
  jiggle   1.500    0.0266   192.574  2.325e-84
  jiggle   1.500    0.0266   109.348  3.243e-48
  jiggle   1.500    0.0268   179.356  1.278e-78
  jiggle   1.500    0.0269   183.478  2.073e-80
  jiggle   1.500    0.0269   214.674  5.867e-94
  jiggle   1.500    0.0270   155.214  3.903e-68
  jiggle   1.500    0.0271   112.668  1.172e-49
  jiggle   1.500    0.0271   317.682 1.078e-138
  jiggle   1.500    0.0272   231.725 2.308e-101
  jiggle   1.500    0.0272   117.015  1.517e-51
  jiggle   1.500    0.0274   148.173  4.459e-65
  jiggle   1.500    0.0275   252.785 1.648e-110
  jiggle   1.500    0.0276   173.693  3.681e-76
  jiggle   1.500    0.0281   309.087 5.822e-135
  jiggle   1.500    0.0285   484.748 2.997e-211
  jiggle   1.500    0.0286   142.210  1.735e-62
  jiggle   1.500    0.0287   211.116  2.059e-92
  jiggle   1.500    0.0290   246.859 6.173e-108
  jiggle   1.500    0.0295   194.027  5.435e-85
  jiggle   1.500    0.0300   394.168 6.534e-172
  jiggle   1.500    0.0300   408.087 5.892e-178
  jiggle   1.500    0.0306   367.207 3.344e-160
  jiggle   2.000    0.0323   491.576 3.246e-214
  jiggle   2.000    0.0337   402.912 1.041e-175
  jiggle   2.000    0.0341   415.654 3.047e-181
  jiggle   2.000    0.0343   351.584 2.038e-153
  jiggle   2.000    0.0343   234.205 1.932e-102
  jiggle   2.000    0.0344   431.753 3.106e-188
  jiggle   2.000    0.0345   346.184 4.511e-151
  jiggle   2.000    0.0346   191.120  9.943e-84
  jiggle   2.000    0.0349   331.513 1.061e-144
  jiggle   2.000    0.0352   362.458 3.858e-158
  jiggle   2.000    0.0353   913.368  0.000e+00
  jiggle   2.000    0.0353   351.634 1.938e-153
  jiggle   2.000    0.0356   345.570 8.334e-151
  jiggle   2.000    0.0357   400.996 7.077e-175
  jiggle   2.000    0.0358   290.683 5.726e-127
  jiggle   2.000    0.0358   370.527 1.209e-161
  jiggle   2.000    0.0360   567.422 3.729e-247
  jiggle   2.000    0.0360   266.579 1.684e-116
  jiggle   2.000    0.0360   357.434 5.864e-156
  jiggle   2.000    0.0360   364.450 5.263e-159
  jiggle   2.000    0.0361   362.746 2.892e-158
  jiggle   2.000    0.0363   282.502 2.046e-123
  jiggle   2.000    0.0363   289.543 1.791e-126
  jiggle   2.000    0.0365   339.431 3.863e-148
  jiggle   2.000    0.0368   553.416 4.515e-241
  jiggle   2.000    0.0368   387.202 6.925e-169
  jiggle   2.000    0.0369   410.542 5.056e-179
  jiggle   2.000    0.0369   424.925 2.868e-185
  jiggle   2.000    0.0372   445.171 4.622e-194
  jiggle   2.000    0.0377   680.416 3.156e-296
  jiggle   2.000    0.0378   250.304 1.969e-109
  jiggle   2.000    0.0381   521.769 2.504e-227
  jiggle   2.000    0.0382   367.144 3.560e-160
  jiggle   2.000    0.0382   570.479 1.754e-248
  jiggle   2.000    0.0384   451.735 6.513e-197
  jiggle   2.000    0.0387   368.785 6.897e-161
  jiggle   2.000    0.0389   420.765 1.836e-183
